Loading weights:   0%|          | 0/320 [00:00<?, ?it/s]Loading weights:  23%|██▎       | 75/320 [00:00<00:00, 735.13it/s]Loading weights:  76%|███████▋  | 244/320 [00:00<00:00, 1291.91it/s]Loading weights: 100%|██████████| 320/320 [00:00<00:00, 1305.01it/s]
group t=15 done
group t=27 done
group t=11 done
group t=31 done

writer-only recovery = +1.043
kind                       layer head  mean_rec   sem
writer+block head            19 3     +0.939  0.010
writer+block head            19 4     +1.164  0.010
writer+block head            19 5     +0.794  0.010
writer+block head            19 6     +1.132  0.010
writer+block head            19 7     +0.876  0.008
writer+block head            23 0     +1.003  0.008
writer+block head            23 1     +1.028  0.008
writer+block head            23 2     +1.025  0.008
writer+block head            23 3     +1.376  0.012
writer+block head            23 4     +1.038  0.008
writer+block head            23 5     +1.042  0.008
writer+block head            23 6     +1.015  0.008
writer+block head            23 7     +0.989  0.008
writer+block mixer            1 None  +1.043  0.008
writer+block mixer            2 None  +1.045  0.008
writer+block mixer            3 None  +1.021  0.008
writer+block mixer            4 None  +1.038  0.008
writer+block mixer            5 None  +1.047  0.008
writer+block mixer            6 None  +1.037  0.008
writer+block mixer            7 None  +1.037  0.008
writer+block mixer            8 None  +1.035  0.008
writer+block mixer            9 None  +1.048  0.008
writer+block mixer           10 None  +1.026  0.008
writer+block mixer           11 None  +1.018  0.008
writer+block mixer           12 None  +1.037  0.008
writer+block mixer           13 None  +1.033  0.008
writer+block mixer           14 None  +0.935  0.012
writer+block mixer           15 None  +0.642  0.010
writer+block mixer           16 None  +1.073  0.009
writer+block mixer           17 None  +1.025  0.008
writer+block mixer           18 None  +1.024  0.008
writer+block mixer           19 None  +0.358  0.013
writer+block mixer           20 None  +1.019  0.008
writer+block mixer           21 None  +1.027  0.008
writer+block mixer           22 None  +0.939  0.007
writer+block mixer           23 None  +1.244  0.011
writer+block mlp              1 None  +1.011  0.008
writer+block mlp              2 None  +0.961  0.010
writer+block mlp              3 None  +1.017  0.009
writer+block mlp              4 None  +1.030  0.009
writer+block mlp              5 None  +1.039  0.008
writer+block mlp              6 None  +0.982  0.008
writer+block mlp              7 None  +1.044  0.008
writer+block mlp              8 None  +1.041  0.008
writer+block mlp              9 None  +1.047  0.008
writer+block mlp             10 None  +1.031  0.008
writer+block mlp             11 None  +1.044  0.008
writer+block mlp             12 None  +1.037  0.008
writer+block mlp             13 None  +1.016  0.008
writer+block mlp             14 None  +0.679  0.010
writer+block mlp             15 None  +0.922  0.010
writer+block mlp             16 None  +0.994  0.010
writer+block mlp             17 None  +0.973  0.011
writer+block mlp             18 None  +0.990  0.008
writer+block mlp             19 None  +1.040  0.010
writer+block mlp             20 None  +1.038  0.008
writer+block mlp             21 None  +0.990  0.008
writer+block mlp             22 None  +0.995  0.009
writer+block mlp             23 None  +0.907  0.014
